"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RAB11FIP3",803.768114333901,-0.295114039845482,0.115443234971365,-2.55635628990026,0.0105774752785771,0.0905319022447449
"CERS4",206.428176338626,-1.55028494315158,0.325003480890886,-4.77005642801734,1.84174319560676e-06,0.00018547832751669
"USP48",1382.65629833971,-0.471358401484732,0.0997671286201316,-4.72458622398018,2.3058436631399e-06,0.000213514933022425
"AARS1",3984.06797589328,-0.395217973518087,0.141191163156912,-2.79916932959086,0.00512342622696218,0.0576573504513844
"DTX2",413.162020056056,0.501963320340324,0.165723521158344,3.02892019691468,0.00245429504744448,0.035555809315924
"NRCAM",204.066693670524,-0.780687582737934,0.252765054942509,-3.0885898484484,0.00201108871820915,0.0313879989198322
"CMTM6",4162.90106900893,-0.340587842049712,0.121584541016841,-2.8012429804093,0.00509061736597247,0.057381738397322
"PPP2R3C",549.637524947809,-0.445218185284377,0.174104928903508,-2.55718311990538,0.0105523651257129,0.0904291811425224
"SNAP23",1924.28270503203,-0.600218760932675,0.214755680261124,-2.79489120009707,0.00519171844748437,0.0581413469317709
"PHGDH",2504.33247566962,-0.674221971025033,0.212123391381281,-3.17844235204194,0.00148068659293189,0.0253776806492935
"EZR",23144.4432331606,0.465469547921918,0.120185434100191,3.87292812483322,0.000107535548388859,0.00402614763103059
"MFSD11",832.275238557733,-0.332982778621446,0.121047290190559,-2.75084868151321,0.00594410939294932,0.0636236441384964
"TGFB2",532.934304418216,1.35757924484056,0.477919924824033,2.84059980412077,0.00450287804857199,0.0536183680219412
"HDAC6",546.889630024233,-0.671391461598046,0.188311741030111,-3.56531917726092,0.000363413649277693,0.00961671118452646
"CBX5",1487.19237537832,-0.748834540297591,0.162426580189229,-4.61029555276722,4.02096907280548e-06,0.000317013201699984
"SH2D3C",28.5045341524237,-2.88943927222245,0.809645813038001,-3.56876948622821,0.000358661814121531,0.00955663265560748
"TBC1D2",547.623940411581,0.998927334830266,0.228529300362225,4.37111273367108,1.23614944605788e-05,0.000789590458669469
"SIRT1",384.756725761678,-0.381965310438602,0.13592000517309,-2.81022142363945,0.00495074268001239,0.0566005860608459
"SCD",16444.7573339441,-0.867118660252804,0.242965509444382,-3.56889610478355,0.000358488542706409,0.00955663265560748
"TSPAN15",2120.67279701931,-0.719591617817854,0.205370547396031,-3.50386960029966,0.000458549838376907,0.0113787987771334
"OCEL1",91.8943311659487,-1.14552566420107,0.330339835080607,-3.46771882331886,0.000524896192145394,0.0125125496094127
"TECR",2087.6350418053,-0.733100123311283,0.243516409292679,-3.01047525068498,0.0026083920440364,0.036982555709833
"CEP170B",2136.18431557219,0.508177537298094,0.192374637009208,2.641603618848,0.00825145624929148,0.0774985308859596
"POLRMT",1032.98226640822,0.590777583947848,0.124628481647748,4.74030956758048,2.13391932049239e-06,0.000206323670596213
"SNAP29",1300.89710083736,-0.434859546946903,0.153757651161551,-2.8282140346304,0.00468084996862682,0.0549592256724869
"LZTR1",766.682308850138,0.635331019196206,0.159141759107689,3.99223323129341,6.54539481115483e-05,0.00285781051295896
"DERL3",4.30279677264908,-3.37723877279459,1.12400119150317,-3.00465764478245,0.00265879934995622,0.0370883867407902
"SLC7A4",957.803105082344,-1.25115593471187,0.353865325625954,-3.53568390036152,0.000406721045343329,0.010528199366983
"PES1",3301.85315865666,0.436086707390068,0.134887760868772,3.23295979250723,0.00122514804772186,0.022593999594795
"PPM1F",934.467756678336,0.434688280784164,0.155076509844472,2.80305689894696,0.00506207378242025,0.0572470753902067
"ESS2",762.785798546239,0.318343050589454,0.112899712579511,2.81969761761135,0.00480689225603088,0.0558279135265778
"CARD10",1557.75350401896,1.03117379320249,0.0915936388006647,11.2581376469455,2.11174276222877e-29,2.91357148904703e-25
"SLC25A1",2764.06030719051,-0.593105094993327,0.210384826357369,-2.8191438767825,0.00481519294749783,0.0558279135265778
